EXPERIMENTO,MODELO,SCALER,PCA,COMPONTENTES PCA,REBALANCEO,N,LOGREG (C) ,MLP (ALPHA),MLP (CAPAS OCULTAS),KNN (DISTANCIA),KNN (K),ACCURACY MEDIO,ACCURACY STD,LATENCIA DE DETECCIÓN MEDIA (S),LATENCIA DE DETECCIÓN STD (S),F1 MACRO MEDIO,F1 MACRO STD,F1 WEIGHTED MEDIO,F1 WEIGHTED STD,FIT TIME MEDIO,FIT TIME STD,FNR MACRO MEDIO,FNR MACRO STD,FNR WEIGHTED MEDIO,FNR WEIGHTED STD,FPR MACRO MEDIO,FPR MACRO STD,FPR WEIGHTED MEDIO,FPR WEIGHTED STD,MCC MEDIO,MCC STD,PRECISIÓN MACRO MEDIA,PRECISIÓN MACRO STD,PRECISIÓN WEIGHTED MEDIA,PRECISIÓN WEIGHTED STD,RECALL MACRO MEDIO,RECALL MACRO STD,RECALL WEIGHTED MEDIO,RECALL WEIGHTED STD,ROC-AUC MEDIO,ROC-AUC STD,SCORE TIME MEDIO,SCORE TIME STD
StandardScaler + sin PCA + RUS_SMOTE + knn,knn,StandardScaler,False,,RUS_SMOTE,10000,manhattan,3.0,,,,"0,96453","0,00013","0,63326","0,97171","0,01578","0,07412","0,03547","0,00246","0,00148","0,89717","0,56893","0,98249","0,92588","0,96453","0,98766","66,45029",,,,,,,,,,,,,,,,
StandardScaler + sin PCA + RUS_SMOTE_ENN + knn,knn,StandardScaler,False,,RUS_SMOTE_ENN,10000,manhattan,3.0,,,,"0,96675","0,00012","0,64035","0,97371","0,02181","0,07731","0,03325","0,00253","0,00471","0,90203","0,58156","0,98370","0,92269","0,96675","0,98758","61,37915",,,,,,,,,,,,,,,,
RobustScaler + sin PCA + NearMiss_SMOTE + logreg,logreg,RobustScaler,False,,NearMiss_SMOTE,10000,,,0.1,,,"0,00601","0,00000","0,00982","0,00300","91,40090","0,72688","0,99399","0,06640","0,00205","0,00680","0,07700","0,83478","0,27312","0,00601","0,56862","0,05757",,,,,,,,,,,,,,,,
RobustScaler + sin PCA + NearMiss_SMOTE_ENN + logreg,logreg,RobustScaler,False,,NearMiss_SMOTE_ENN,10000,,,1.0,,,"0,00592","0,00000","0,00759","0,00281","89,71271","0,73687","0,99408","0,06641","0,00206","0,00662","0,07548","0,83456","0,26313","0,00592","0,57154","0,05394",,,,,,,,,,,,,,,,
RobustScaler + sin PCA + NONE + logreg,logreg,RobustScaler,False,,NONE,10000,,,10.0,,,"0,72187","0,00000","0,07962","0,72544","750,83273","0,92039","0,27813","0,05915","0,60906","0,09355","0,08331","0,73064","0,07961","0,72187","0,50689","0,03166",,,,,,,,,,,,,,,,
RobustScaler + sin PCA + RUS_SMOTE + logreg,logreg,RobustScaler,False,,RUS_SMOTE,10000,,,0.1,,,"0,10136","0,00000","0,04449","0,17134","52,20668","0,75885","0,89864","0,06035","0,00665","0,05358","0,12709","0,88303","0,24115","0,10136","0,52135","0,03804",,,,,,,,,,,,,,,,
RobustScaler + sin PCA + RUS_SMOTE_ENN + logreg,logreg,RobustScaler,False,,RUS_SMOTE_ENN,10000,,,10.0,,,"0,18078","0,00000","0,05904","0,29465","51,21095","0,75109","0,81922","0,05583","0,01829","0,08173","0,15326","0,88607","0,24891","0,18078","0,53612","0,04191",,,,,,,,,,,,,,,,
StandardScaler + sin PCA + NearMiss_SMOTE + logreg,logreg,StandardScaler,False,,NearMiss_SMOTE,10000,,,1.0,,,"0,13006","0,00000","0,18212","0,16464","29,72561","0,23817","0,86994","0,05834","0,00511","0,17615","0,24264","0,94224","0,76183","0,13006","0,39551","0,03759",,,,,,,,,,,,,,,,
StandardScaler + sin PCA + NearMiss_SMOTE_ENN + logreg,logreg,StandardScaler,False,,NearMiss_SMOTE_ENN,10000,,,10.0,,,"0,13444","0,00000","0,17823","0,17323","27,83158","0,22891","0,86556","0,05857","0,01304","0,18326","0,24617","0,91639","0,77109","0,13444","0,40725","0,03780",,,,,,,,,,,,,,,,
StandardScaler + sin PCA + NONE + logreg,logreg,StandardScaler,False,,NONE,10000,,,10.0,,,"0,97788","0,00000","0,60075","0,97798","465,92788","0,37162","0,02212","0,00318","0,02552","0,92947","0,63108","0,98009","0,62838","0,97788","0,99817","0,03708",,,,,,,,,,,,,,,,
StandardScaler + sin PCA + RUS_SMOTE + logreg,logreg,StandardScaler,False,,RUS_SMOTE,10000,,,10.0,,,"0,83052","0,00000","0,43710","0,88316","52,63442","0,08449","0,16948","0,01148","0,00278","0,66585","0,36249","0,96246","0,91551","0,83052","0,98830","0,03623",,,,,,,,,,,,,,,,
StandardScaler + sin PCA + RUS_SMOTE_ENN + logreg,logreg,StandardScaler,False,,RUS_SMOTE_ENN,10000,,,10.0,,,"0,85241","0,00000","0,43628","0,89714","45,29949","0,08151","0,14759","0,01003","0,00288","0,69256","0,36255","0,96348","0,91849","0,85241","0,98879","0,03391",,,,,,,,,,,,,,,,
RobustScaler + sin PCA + NearMiss_SMOTE + mlp,mlp,RobustScaler,False,,NearMiss_SMOTE,10000,,,,0.0001,"(100,)","0,13036","0,00000","0,14958","0,18094","17,41067","0,28439","0,86964","0,05844","0,00699","0,14709","0,22770","0,92985","0,71561","0,13036","0,60350","0,20845",,,,,,,,,,,,,,,,
RobustScaler + sin PCA + NearMiss_SMOTE_ENN + mlp,mlp,RobustScaler,False,,NearMiss_SMOTE_ENN,10000,,,,0.0001,"(100,)","0,15048","0,00000","0,19624","0,21673","18,28420","0,27619","0,84952","0,05687","0,00355","0,15594","0,26292","0,94092","0,72381","0,15048","0,66529","0,20506",,,,,,,,,,,,,,,,
RobustScaler + sin PCA + NONE + mlp,mlp,RobustScaler,False,,NONE,10000,,,,0.0001,"(100,)","0,98200","0,00000","0,66617","0,97994","209,53558","0,35985","0,01800","0,00669","0,08230","0,93901","0,79025","0,98181","0,64015","0,98200","0,99344","0,19233",,,,,,,,,,,,,,,,
RobustScaler + sin PCA + RUS_SMOTE + mlp,mlp,RobustScaler,False,,RUS_SMOTE,10000,,,,0.0001,"(100,)","0,78142","0,00000","0,36919","0,84620","8,96552","0,13350","0,21858","0,01501","0,00652","0,59757","0,31996","0,94969","0,86650","0,78142","0,91542","0,19855",,,,,,,,,,,,,,,,
RobustScaler + sin PCA + RUS_SMOTE_ENN + mlp,mlp,RobustScaler,False,,RUS_SMOTE_ENN,10000,,,,0.0001,"(100,)","0,85178","0,00000","0,42064","0,90024","18,40578","0,11464","0,14822","0,01015","0,00408","0,68221","0,37352","0,96810","0,88536","0,85178","0,94170","0,19903",,,,,,,,,,,,,,,,
StandardScaler + sin PCA + NearMiss_SMOTE + mlp,mlp,StandardScaler,False,,NearMiss_SMOTE,10000,,,,1,"(100,)","0,16504","0,00000","0,25322","0,21491","8,16732","0,23127","0,83496","0,06221","0,09824","0,17707","0,29973","0,76742","0,76873","0,16504","0,53498","0,18211",,,,,,,,,,,,,,,,
StandardScaler + sin PCA + NearMiss_SMOTE_ENN + mlp,mlp,StandardScaler,False,,NearMiss_SMOTE_ENN,10000,,,,1,"(100,)","0,15876","0,00000","0,21236","0,21138","14,01735","0,23502","0,84124","0,06219","0,09156","0,17318","0,25501","0,77433","0,76498","0,15876","0,57597","0,20340",,,,,,,,,,,,,,,,
StandardScaler + sin PCA + NONE + mlp,mlp,StandardScaler,False,,NONE,10000,,,,1,"(100, 50)","0,98796","0,00000","0,71600","0,98758","123,54092","0,30141","0,01204","0,00280","0,03002","0,95994","0,79691","0,98777","0,69859","0,98796","0,99917","0,21599",,,,,,,,,,,,,,,,
